Latitude,Longitude,TreeID,SiteID,Abbreviation
35.80760711,-106.6337037,MCN2100,172,gp153
35.80760711,-106.6337037,MCN789,172,gp153
35.80760711,-106.6337037,MCN793,172,gp153
35.80760711,-106.6337037,MCN794,172,gp153
35.80760711,-106.6337037,MCN795,172,gp153
35.80760711,-106.6337037,MCN800,172,gp153
35.80773691,-106.6314486,MCN263,173,gp154
35.80773691,-106.6314486,MCN264,173,gp154
35.80773691,-106.6314486,MCN267,173,gp154
35.80778639,-106.6271335,MCN123,174,gp156
35.80778639,-106.6271335,MCN314,174,gp156
35.80778639,-106.6271335,MCN315,174,gp156
35.80783088,-106.6222826,MCN14,108,MCN
35.80783585,-106.6248104,MCN1634,175,gp157
35.80783585,-106.6248104,MCN1635,175,gp157
35.80786529,-106.6226307,MCN316,176,gp158
35.80786529,-106.6226307,MCN318,176,gp158
35.80789159,-106.6180052,MCN319,177,gp160
35.80789159,-106.6180052,MCN320,177,gp160
35.80789159,-106.6180052,MCN321,177,gp160
35.80789159,-106.6180052,MCN322,177,gp160
35.80810624,-106.6216866,MCN12,108,MCN
35.80855017,-106.621805,MCN15,108,MCN
35.80855312,-106.6215862,MCN13,108,MCN
35.80891757,-106.620992,MCN11,108,MCN
35.80959663,-106.6292621,MCN272,179,gp164
35.80959663,-106.6292621,MCN273,179,gp164
35.80959663,-106.6292621,MCN274,179,gp164
35.80962547,-106.6337782,MCN0250,178,gp162
35.80962547,-106.6337782,MCN0260,178,gp162
35.80962547,-106.6337782,MCN0268,178,gp162
35.80962547,-106.6337782,MCN271,178,gp162
35.8097086,-106.628392,MCN18,108,MCN
35.80971032,-106.6248596,MCN253,180,gp166
35.80971032,-106.6248596,MCN254,180,gp166
35.80971032,-106.6248596,MCN255,180,gp166
35.80971032,-106.6248596,MCN256,180,gp166
35.80971032,-106.6248596,MCN257,180,gp166
35.80973082,-106.6159839,MCN201,181,gp170
35.80973082,-106.6159839,MCN202,181,gp170
35.80973082,-106.6159839,MCN203,181,gp170
35.80973082,-106.6159839,MCN204,181,gp170
35.80973082,-106.6159839,MCN205,181,gp170
35.80973082,-106.6159839,MCN206,181,gp170
35.81000038,-106.6331565,MCN19,108,MCN
35.81053562,-106.6331128,MCN20,108,MCN
35.81077312,-106.6353055,MCN23,108,MCN
35.81092969,-106.6368949,MCN27,108,MCN
35.8113818,-106.6364119,MCN24,108,MCN
35.81147907,-106.6358122,MCN22,108,MCN
35.81188062,-106.6259203,MCN21,108,MCN
35.81200611,-106.63637,MCN26,108,MCN
35.81208775,-106.6369187,MCN25,108,MCN
35.81287367,-106.3972305,BAN38,96,BAN
35.8137016,-106.3958061,BAN39,96,BAN
35.81476008,-106.397817,BAN40,96,BAN
35.81536733,-106.6871758,TWS-8,2,TWS
35.81536733,-106.6871758,TWS-8,50,
35.81636834,-106.3677382,BAN45,96,BAN
35.81668987,-106.6836641,TWS-12,2,TWS
35.81668987,-106.6836641,TWS-12,50,
35.81671208,-106.6833657,TWS-13,2,TWS
35.81671208,-106.6833657,TWS-13,50,
35.81686381,-106.3478227,BAN26,96,BAN
35.81710761,-106.3740601,BAN42,96,BAN
35.81711233,-106.6837465,TWS-7,2,TWS
35.81711233,-106.6837465,TWS-7,50,
35.81720407,-106.3735083,BAN43,96,BAN
35.81722783,-106.6836353,TWS-1,2,TWS
35.81722783,-106.6836353,TWS-1,50,
35.81731715,-106.68329,TWS-11,2,TWS
35.81731715,-106.68329,TWS-11,50,
35.81735802,-106.6835897,TWS-10,2,TWS
35.81735802,-106.6835897,TWS-10,50,
35.81739133,-106.6839123,TWS-3,2,TWS
35.81739133,-106.6839123,TWS-3,50,
35.81752945,-106.4077168,BAN36,96,BAN
35.81753633,-106.6838472,TWS-2,2,TWS
35.81753633,-106.6838472,TWS-2,50,
35.81754425,-106.3353263,BAN95,96,BAN
35.81755654,-106.3342196,BAN96,96,BAN
35.81777932,-106.6843678,TWS-4,2,TWS
35.81777932,-106.6843678,TWS-4,50,
35.81782204,-106.3346668,BAN94,96,BAN
35.8180295,-106.6842035,TWS-5,2,TWS
35.8180295,-106.6842035,TWS-5,50,
35.81806487,-106.3290256,BAN93,96,BAN
35.81823217,-106.6844732,TWS-6,2,TWS
35.81823217,-106.6844732,TWS-6,50,
35.81834385,-106.3282554,BAN91,96,BAN
35.81860589,-106.4081786,BAN37,96,BAN
35.81869583,-106.3290361,BAN97,96,BAN
35.81879331,-106.3283736,BAN92,96,BAN
35.81888667,-106.407298,BAN34,96,BAN
35.81890349,-106.3903626,BAN46,96,BAN
35.81933086,-106.4078593,BAN33,96,BAN
35.81938417,-106.3401168,BAN98,96,BAN
35.819538,-106.797314,BAC-6,5,BAC
35.819602,-106.797375,BAC-5,5,BAC
35.81978154,-106.4078673,BAN32,96,BAN
35.81990737,-106.3497559,BAN99,96,BAN
35.819966,-106.797963,BAC-7,5,BAC
35.819977,-106.797743,BAC-8,5,BAC
35.820107,-106.797596,BAC-3,5,BAC
35.820117,-106.79729,BAC-2,5,BAC
35.820119,-106.797605,BAC-9,5,BAC
35.82012887,-106.3700165,BAN22,96,BAN
35.820172,-106.797466,BAC-4,5,BAC
35.82019399,-106.797452,BAC-1,5,BAC
35.82031797,-106.3692449,BAN23,96,BAN
35.820438,-106.797964,BAC-10,5,BAC
35.821335,-106.799453,BAC-11,5,BAC
35.82148723,-106.3694864,BAN21,96,BAN
35.821603,-106.3829931,BAN50,96,BAN
35.82215274,-106.3822278,BAN51,96,BAN
35.82234435,-106.396843,BAN11,96,BAN
35.8224229,-106.3978406,BAN71,96,BAN
35.82252205,-106.3970675,BAN47,96,BAN
35.82260832,-106.3974011,BAN48,96,BAN
35.82285982,-106.3834577,BAN67,96,BAN
35.82395419,-106.3823697,BAN68,96,BAN
35.82443121,-106.387913,BAN49,96,BAN
35.82486654,-106.3892489,BAN66,96,BAN
35.82557411,-106.5765997,EFK01,73,EFK
35.8255847,-106.5767658,EFK03,73,EFK
35.82559144,-106.5767981,EFK04,73,EFK
35.82560177,-106.5765552,EFK02,73,EFK
35.82565313,-106.5747368,EFK08,73,EFK
35.82583136,-106.5748953,EFK06,73,EFK
35.82585638,-106.5757371,EFK05,73,EFK
35.8258792,-106.5753722,EFK07,73,EFK
35.82616102,-106.5766508,EFK10,73,EFK
35.82622302,-106.576652,EFK09,73,EFK
35.82641657,-106.5763527,EFK11,73,EFK
35.82658571,-106.4042236,BAN12,96,BAN
35.82667213,-106.5760546,EFK12,73,EFK
35.82679883,-106.5760337,EFK13,73,EFK
35.82709065,-106.5765169,EFK14,73,EFK
35.8274918,-106.5775184,EFK15,73,EFK
35.82768549,-106.4332471,BAN57,96,BAN
